coach,team,start,end,n_seasons
Joe Brady (fired mid season),CAR,2021,2021,1
Joe Gibbs,WAS,2004,2006,3
Joe Judge,NYG,2020,2021,2
Joe Lombardi,DEN,2023,2025,3
Joe Lombardi,DET,2014,2014,1
Joe Lombardi,LAC,2021,2022,2
"Joe Lombardi (fired Oct 26, 2015)",DET,2015,2015,1
Joe Pendry,HOU,2005,2005,1
Joe Philbin,GB,2008,2011,4
Joe Philbin,GB,2018,2018,1
Joe Philbin,MIA,2012,2014,3
Joe Philbin {{small|(fired on October 5)}},MIA,2015,2015,1
Joe Vitt,NO,2012,2012,1
John DeFilippo,CLE,2015,2015,1
John DeFilippo,JAX,2019,2019,1
John Fassel,LA,2016,2016,1
John Fox,CAR,2002,2010,9
John Fox,CHI,2015,2017,3
John Fox,DEN,2011,2014,4
John Harbaugh,BAL,2008,2025,18
John Hufnagel,NYG,2006,2006,1
John Morton,DET,2025,2025,1
John Morton,NYJ,2017,2017,1
John Shoop,CHI,2001,2003,3
Jon Gruden,LV,2001,2001,1
Jon Gruden,LV,2018,2020,3
Jon Gruden,TB,2002,2008,7
Jonathan Gannon,ARI,2023,2025,3
Jordan Traylor,MIN,2025,2025,1
Josh Grizzard,TB,2025,2025,1
Josh McDaniels,DEN,2009,2009,1
Josh McDaniels,LA,2011,2011,1
Josh McDaniels,LV,2022,2022,1
Josh McDaniels,NE,2006,2008,3
Josh McDaniels,NE,2012,2021,10
Josh McDaniels,NE,2025,2025,1
Josh McDaniels {{small|(fired December 6)}},DEN,2010,2010,1
Josh McDaniels; fired on October 31,LV,2023,2023,1
Justin Outten,DEN,2022,2022,1
Keith Rowen,ARI,2005,2006,2
Kellen Moore,DAL,2019,2022,4
Kellen Moore,LAC,2023,2023,1
Kellen Moore,NO,2025,2025,1
Kellen Moore,PHI,2024,2024,1
Ken Dorsey,BUF,2022,2022,1
Ken Dorsey,CLE,2024,2024,1
Ken Dorsey; fired after Week 10,BUF,2023,2023,1
Ken Whisenhunt,ARI,2007,2007,1
Ken Whisenhunt,ARI,2009,2012,4
Ken Whisenhunt,LAC,2013,2013,1
Ken Whisenhunt,LAC,2016,2018,3
Ken Whisenhunt,PIT,2004,2006,3
Ken Whisenhunt,TEN,2014,2014,1
"Ken Whisenhunt (fired November 3, 2015)",TEN,2015,2015,1
Ken Zampese,CIN,2016,2016,1
"Ken Zampese (fired Sept 15, 2017)",CIN,2017,2017,1
Kevin Gilbride,BUF,2002,2002,1
Kevin Gilbride,NYG,2007,2013,7
Kevin O'Connell,LA,2020,2021,2
Kevin O'Connell,MIN,2022,2025,4
Kevin O'Connell,WAS,2019,2019,1
Kevin Patullo,PHI,2025,2025,1
Kevin Stefanski,CLE,2020,2025,6
Kevin Stefanski,MIN,2018,2019,2
Kim Helton,WAS,2002,2002,1
Klay Kubiak,SF,2025,2025,1
Klayton Adams,DAL,2025,2025,1
Kliff Kingsbury,ARI,2019,2022,4
Kliff Kingsbury,WAS,2024,2025,2
Klint Kubiak,MIN,2021,2021,1
Klint Kubiak,NO,2024,2024,1
Klint Kubiak,SEA,2025,2025,1
Kyle Shanahan,ATL,2015,2016,2
Kyle Shanahan,CLE,2014,2014,1
Kyle Shanahan,HOU,2008,2009,2
Kyle Shanahan,SF,2017,2025,9
Kyle Shanahan,WAS,2010,2013,4
Lane Kiffin,LV,2007,2008,2
Leslie Frazier,MIN,2010,2013,4
Liam Coen,JAX,2025,2025,1
Liam Coen,LA,2022,2022,1
Liam Coen,TB,2024,2024,1
Lovie Smith,CHI,2004,2012,9
Lovie Smith,HOU,2022,2022,1
Lovie Smith,TB,2014,2015,2
Luke Getsy,CHI,2022,2023,2
Luke Getsy (fired on November 5),LV,2024,2024,1
Marc Trestman,BAL,2015,2016,2
Marc Trestman,CHI,2013,2014,2
Marc Trestman,LV,2002,2003,2
Marcus Brady,IND,2021,2021,1
Mark Helfrich,CHI,2018,2019,2
Marty Mornhinweg,BAL,2017,2018,2
Marty Mornhinweg,DET,2001,2002,2
Marty Mornhinweg,NYJ,2013,2014,2
Marty Mornhinweg,PHI,2005,2012,8
Marty Schottenheimer,LAC,2002,2006,5
Marvin Lewis,CIN,2003,2017,15
Matt Canada,PIT,2021,2022,2
Matt Canada; fired after Week 11,PIT,2023,2023,1
Matt Cavanaugh,BAL,2001,2004,4
Matt Cavanaugh,WAS,2017,2018,2
Matt Eberflus,CHI,2022,2023,2
Matt Eberflus (fired on November 29),CHI,2024,2024,1
Matt LaFleur,GB,2019,2025,7
Matt LaFleur,LA,2017,2017,1
Matt LaFleur,TEN,2018,2018,1
Matt Nagy,CHI,2018,2021,4
Matt Nagy,KC,2016,2017,2
Matt Nagy,KC,2023,2025,3
Matt Patricia,DET,2018,2019,2
Matt Rhule,CAR,2020,2021,2
Maurice Carthon,CLE,2005,2005,1
Maurice Carthon,DET,2001,2002,2
Maurice Carthon (Resigned after week 7),CLE,2006,2006,1
Mick Lombardi,LV,2022,2022,1
