season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2010,ARI,16,289.0,18.0625,958,-210.229971149132,-0.2194467339761294,4301.0,16,268.8125,-0.2194467339761294
2010,ATL,16,414.0,25.875,1138,76.72085227691288,0.0674172691361273,5482.0,16,342.625,0.0674172691361273
2010,BAL,16,357.0,22.3125,1038,28.943459863868924,0.0278838727012224,5170.0,16,323.125,0.0278838727012224
2010,BUF,16,283.0,17.6875,978,-104.88266433912749,-0.1072419880768174,4872.0,16,304.5,-0.1072419880768174
2010,CAR,16,196.0,12.25,986,-245.3341752006292,-0.2488176219073318,4137.0,16,258.5625,-0.2488176219073318
2010,CHI,16,334.0,20.875,962,-93.17619946184034,-0.0968567561973392,4618.0,16,288.625,-0.0968567561973392
2010,CIN,16,322.0,20.125,1078,-45.0623883798165,-0.0418018445081785,5270.0,16,329.375,-0.0418018445081785
2010,CLE,16,271.0,16.9375,944,-73.64965446312097,-0.0780187017617806,4650.0,16,290.625,-0.0780187017617806
2010,DAL,16,394.0,24.625,1064,-0.0949894023116426,-8.927575405229573e-05,5836.0,16,364.75,-8.927575405229573e-05
2010,DEN,16,344.0,21.5,1051,-18.620738686333254,-0.0177171633552171,5581.0,16,348.8125,-0.0177171633552171
2010,DET,16,362.0,22.625,1098,-48.16336951413315,-0.0438646352587733,5431.0,16,339.4375,-0.0438646352587733
2010,GB,16,388.0,24.25,1020,77.21603206745878,0.0757019922229988,5744.0,16,359.0,0.0757019922229988
2010,HOU,16,390.0,24.375,1055,113.81183363510878,0.1078785152939419,6195.0,16,387.1875,0.1078785152939419
2010,IND,16,435.0,27.1875,1106,104.83271730604268,0.0947854586853912,6107.0,16,381.6875,0.0947854586853912
2010,JAX,16,353.0,22.0625,1052,20.431252565685213,0.0194213427430467,5461.0,16,341.3125,0.0194213427430467
2010,KC,16,366.0,22.875,1090,35.167291156357216,0.0322635698682176,5604.0,16,350.25,0.0322635698682176
2010,LA,16,289.0,18.0625,1080,-105.49321189127905,-0.0976788998993324,4818.0,16,301.125,-0.0976788998993324
2010,LAC,16,441.0,27.5625,1064,103.57799063934684,0.0973477355632959,6343.0,16,396.4375,0.0973477355632959
2010,LV,16,410.0,25.625,1077,-10.406279214608505,-0.0096622833933226,5691.0,16,355.6875,-0.0096622833933226
2010,MIA,16,273.0,17.0625,1061,-76.13566715335574,-0.0717584044800713,5188.0,16,324.25,-0.0717584044800713
2010,MIN,16,281.0,17.5625,1023,-114.04267702982168,-0.1114786676733349,5049.0,16,315.5625,-0.1114786676733349
2010,NE,16,518.0,32.375,1006,190.82628459992048,0.1896881556659249,5841.0,16,365.0625,0.1896881556659249
2010,NO,16,384.0,24.0,1088,42.570766571188464,0.0391275428044011,5972.0,16,373.25,0.0391275428044011
2010,NYG,16,394.0,24.625,1058,-5.471716823801383,-0.0051717550319483,6107.0,16,381.6875,-0.0051717550319483
